fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
140,579,742540.6993,2577188.0052,743540.6993,2576188.0052,8,19,0.999,363.0,156028.772,0.156,429.831328,2599.886,490.990532,10.853727,7.4425316,5
141,580,742540.6993,2576188.0052,743540.6993,2575188.0052,9,19,0.999,1093.0,256652.725,0.257,234.814936,4410.924,295.341668,12.56223,4.133132,2
142,581,742540.6993,2575188.0052,743540.6993,2574188.0052,10,19,0.999,847.0,228026.495,0.228,269.216641,4205.092,323.959661,12.1585865,4.80903,2
143,582,742540.6993,2574188.0052,743540.6993,2573188.0052,11,19,0.999,23.0,4707.528,0.005,204.67513,1402.265,298.684583,6.3120484,10.766929,0
144,583,742540.6993,2573188.0052,743540.6993,2572188.0052,12,19,0.999,11.0,1410.043,0.001,128.185727,342.542,102.387469,6.343016,13.555345,4
145,584,742540.6993,2572188.0052,743540.6993,2571188.0052,13,19,0.999,75.0,19731.488,0.02,263.086507,5005.155,645.626189,9.02296,7.6123066,5
146,585,742540.6993,2571188.0052,743540.6993,2570188.0052,14,19,0.999,124.0,19116.861,0.019,154.168234,5005.155,459.085554,7.446759,10.160927,0
147,586,742540.6993,2570188.0052,743540.6993,2569188.0052,15,19,0.999,496.0,58203.354,0.058,117.345472,1135.166,122.598761,9.958079,11.666201,3
148,587,742540.6993,2569188.0052,743540.6993,2568188.0052,16,19,0.999,78.0,29867.389,0.03,382.915244,2649.586,534.459589,7.3973527,7.901529,0
149,588,742540.6993,2568188.0052,743540.6993,2567188.0052,17,19,0.999,65.0,9944.909,0.01,152.9986,692.671,155.111353,6.5089436,12.429817,4
150,589,742540.6993,2567188.0052,743540.6993,2566188.0052,18,19,0.718,53.0,12338.106,0.017,232.794453,1127.863,250.360054,6.128521,10.404269,0
151,590,742540.6993,2566188.0052,743540.6993,2565188.0052,19,19,0.762,17.0,9004.367,0.012,529.668647,1829.28,623.143703,7.6640773,7.098769,5
152,591,742540.6993,2565188.0052,743540.6993,2564188.0052,20,19,0.423,8.0,872.059,0.002,109.007375,360.345,101.847008,6.5138726,14.121378,4
