id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,fid_sum,id_count,area_m2_co,area_m2_su,DN_count,DN_sum,DN_mean,obf_pct,obf_n,bld_n,wsf_n,UMI,UMI_w
528,740540.699300000094809,2568188.005200000014156,741540.699300000094809,2567188.005200000014156,17,17,0.999,402,37099898.000000,402,402,81955.573000,114,20400.000000,178.947368,8.204,0.154,0.227,0.720,0.367,0.296
529,740540.699300000094809,2567188.005200000014156,741540.699300000094809,2566188.005200000014156,18,17,0.369,321,29476872.000000,321,321,53616.183000,97,19380.000000,199.793814,14.530,0.273,0.181,0.804,0.419,0.342
530,740540.699300000094809,2566188.005200000014156,741540.699300000094809,2565188.005200000014156,19,17,0.002,1,118755.000000,1,1,53.783000,1,0.000000,0.000000,2.689,0.051,0.001,0.000,0.017,0.021
544,741540.699300000094809,2582188.005200000014156,742540.699300000094809,2581188.005200000014156,3,18,0.056,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
545,741540.699300000094809,2581188.005200000014156,742540.699300000094809,2580188.005200000014156,4,18,0.384,28,2367169.000000,28,28,32774.865000,20,4590.000000,229.500000,8.535,0.161,0.016,0.923,0.367,0.255
546,741540.699300000094809,2580188.005200000014156,742540.699300000094809,2579188.005200000014156,5,18,0.840,46,4478567.000000,46,46,45337.145000,37,8160.000000,220.540541,5.397,0.102,0.026,0.887,0.338,0.229
547,741540.699300000094809,2579188.005200000014156,742540.699300000094809,2578188.005200000014156,6,18,0.999,308,29105100.000000,308,308,53678.090000,82,16320.000000,199.024390,5.373,0.101,0.174,0.801,0.359,0.270
548,741540.699300000094809,2578188.005200000014156,742540.699300000094809,2577188.005200000014156,7,18,0.999,241,22864013.000000,241,241,63640.975000,103,18870.000000,183.203883,6.370,0.120,0.136,0.737,0.331,0.250
549,741540.699300000094809,2577188.005200000014156,742540.699300000094809,2576188.005200000014156,8,18,0.999,199,18085565.000000,199,199,86906.193000,179,15045.000000,84.050279,8.699,0.164,0.112,0.338,0.205,0.178
550,741540.699300000094809,2576188.005200000014156,742540.699300000094809,2575188.005200000014156,9,18,0.999,661,60041055.000000,661,661,202058.054000,347,22185.000000,63.933718,20.226,0.381,0.373,0.257,0.337,0.353
551,741540.699300000094809,2575188.005200000014156,742540.699300000094809,2574188.005200000014156,10,18,0.999,450,43476674.000000,450,450,83926.057000,122,20400.000000,167.213115,8.401,0.158,0.254,0.673,0.362,0.299
552,741540.699300000094809,2574188.005200000014156,742540.699300000094809,2573188.005200000014156,11,18,0.999,468,43983821.000000,468,468,60380.180000,56,3060.000000,54.642857,6.044,0.114,0.264,0.220,0.199,0.195
553,741540.699300000094809,2573188.005200000014156,742540.699300000094809,2572188.005200000014156,12,18,0.999,3,425449.000000,3,3,68.630000,1,0.000000,0.000000,0.007,0.000,0.002,0.000,0.001,0.001
554,741540.699300000094809,2572188.005200000014156,742540.699300000094809,2571188.005200000014156,13,18,0.999,16,1422664.000000,16,16,1388.351000,5,1020.000000,204.000000,0.139,0.003,0.009,0.821,0.278,0.169
555,741540.699300000094809,2571188.005200000014156,742540.699300000094809,2570188.005200000014156,14,18,0.999,12,1197128.000000,12,12,594.722000,2,255.000000,127.500000,0.060,0.001,0.007,0.513,0.174,0.106
556,741540.699300000094809,2570188.005200000014156,742540.699300000094809,2569188.005200000014156,15,18,0.999,37,3408034.000000,37,37,3023.923000,17,4080.000000,240.000000,0.303,0.006,0.021,0.965,0.331,0.204
557,741540.699300000094809,2569188.005200000014156,742540.699300000094809,2568188.005200000014156,16,18,0.999,682,63134074.000000,682,682,88001.814000,163,26520.000000,162.699387,8.809,0.166,0.385,0.654,0.402,0.351
558,741540.699300000094809,2568188.005200000014156,742540.699300000094809,2567188.005200000014156,17,18,0.999,414,36477825.000000,414,414,60570.828000,115,22440.000000,195.130435,6.063,0.114,0.234,0.785,0.378,0.296
559,741540.699300000094809,2567188.005200000014156,742540.699300000094809,2566188.005200000014156,18,18,0.168,42,3531641.000000,42,42,5220.343000,10,2295.000000,229.500000,3.107,0.058,0.024,0.923,0.335,0.217
563,741540.699300000094809,2563188.005200000014156,742540.699300000094809,2562188.005200000014156,22,18,0.059,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
564,741540.699300000094809,2562188.005200000014156,742540.699300000094809,2561188.005200000014156,23,18,0.177,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
565,741540.699300000094809,2561188.005200000014156,742540.699300000094809,2560188.005200000014156,24,18,0.163,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
575,742540.699300000094809,2581188.005200000014156,743540.699300000094809,2580188.005200000014156,4,19,0.002,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
576,742540.699300000094809,2580188.005200000014156,743540.699300000094809,2579188.005200000014156,5,19,0.690,135,12041549.000000,135,135,74323.345000,73,14535.000000,199.109589,10.771,0.203,0.076,0.801,0.360,0.272
